NOMMO	N AA M OW
AUTREFOIS	AO T R EH F OW AH S
SKYP	S K IH P
LEDAEAN	L EH D IY AH N
EMBRYON	IH M B R AY AH N
HYDREK	HH IH D R AH K
MALEVOLENCE	M AH L EH V AH L AH N S
TRAWLING	T R AO L IH NG
PROPHECI	P R OW F EH S IY
EAVESDROPPED	IY V EH Z D R AH P T
ORGANIZESTHE	AO R G AE N AH Z AH S DH
YERBABUENA	Y AH R B AH B Y UW AH N AH
FORGETTER	F OW R JH EH T ER
FORBEAR	F AO R B AE ER
ASPS	AE S
HOSTELRY	HH AA S T AH L R IY
TARGE	T AA R JH
WORSHIPT	W AH R SH AH P T
MYGHTY	M IH T IY
PACIFICTAKING	P AH S IH F IH K T EY K IH NG
GRA'MA	G R AE M AH
MUHFUCKA	M AH F AH K AH
PRETENDYOU	P R IY T EH N D AY UW
370	TH R IY S EH V AH N Z IY R OW
GODFEARLESS	G AA D F IH ER L AH S
WATERDROPS	W AO T ER D R AA P S
SEMECOPE	S EH M AH K OW P
LEÁVES	L IY V Z
'PLUS	P L AH Z
CHESTFILLS	CH EH S T F IH L Z
RUNITS	R UW N AH T S
TWANGOR	T W AA N G AH R
ACTLIKE	AE K T L AY K
DISAPPROV	D AH S AE P R AH V
THESTAGE	TH EH S T AH JH
QUILLS	K W IH L Z
UNOBSCUR	AH N AA B S K AH R
XXVII	Z K S V IY
THOUGHTENNE	TH AO T AH N
SLUES	S L UW W Z
KOSHARI	K AA SH AH R IY
HIMGET	HH IH M JH AH T
1966	W AH N AY N S IH K S IH K S
SAUCHS	S AO CH S
MESCAL	M EH S AH L
MATCHWOOD	M AE CH W UH D
WAC	W AE K
1771	W AH N S EH V AH N S EH V AH N W AH N
FLATTERS	F L AE T ER Z
LIVERED	L IH V ER D
2:13	T UW W AH N TH R IY
JINGOJI	JH IH N G AH JH IY
THEYWOULD	TH EY W OW L D
BABOSADAS	B AH B AA S AH D AH Z
ENDSOF	IH N D S AA F
DOESTHE	D OW AH S DH
BUFFED	B AH F T
PLACESAND	P L EY S AE N D
MILIU	M IH L IY UW
DROPTIC	D R AA P T AH K
AGNOLO	AE G N AH L OW
TOWZIE	T OW Z AY
BLUEWATER	B L UW W AO T ER
CRUSHEDBY	K R AH SH T B AY
TUSSOCKY	T AH S AA K IY
PANEGYRICSFLIP	P EY N JH AY R IH K S F L IH P
JACKSTRAWS	JH AE K S T R AO Z
SHRIVELS	SH R IH V AH L Z
CENTRED	S EH N T ER D
DESTRUCTION…	D IH S T R AH K SH AH N
PEARLES	P AH R L Z
JIGOT	JH IH G AH T
ROOTAS	R UW T AH Z
AGITATIONS	AE JH AH T EY SH AH N Z
LAERTES	L IY R T S
UNSTEPPED	AH N S T EH P T
PARAMOUR	P AE R AH M AH R
POURTANT	P AH R T AH N T
FIDELITYIT	F IH D AH L IH T AY AH T
WEAVETH	W IY V IH TH
DIVYNE	D AH V AY N
SUNSHADES	S AH N SH EY D Z
HATEDHOW	HH AH T EH D HH OW
COLUMB	K OW L AH M
DIGNITÉ	D IH G N AH T
BACKWHERE	B AE K W HH AH R
NEUESTE	N Y UW AH S T
SCUTCHEON	S K AH CH AH N
ELECTRONICA	EH L AH K T R AA N AH K AH
METALLY	M EH T AH L IY
MENT	M EH N T
UNADVENTROUS	AH N AE D EH N T R AH S
SOMETHINGGLISTENING	S AH M TH IH NG G L IH S AH N IH NG
ORUS	AO R AH S
WORLDOVERSEEING	W ER L D OW V ER S IY IH NG
MULTIPLINGS	M AH L T AH P AH L IH NG Z
ORPINGTONS	AO R P IH N G T AH N Z
395INTO	TH R IY N AY N F AY V AY EH N T IY OW
PROVOKABLE	P R AH V OW K AH B AH L
–BESIDE	B IH S AY D
WHOMWERE	W AA M W AH R
ARRANGERS	AH R EY N JH ER Z
FLECKER	F L EH K ER
STANDERS	S T AE N D ER Z
PORPHYROGENE	P AO R F IH R AH JH IY N
SHYFROM	SH IH F R AH M
VAMPING	V AE M P IH NG
FREEFOOT	F R IY F UH T
MISSONI	M IH S OW N IY
CHARDGE	CH AA R JH
UNTILWE	AH N T IH L W
ISSACHAR	IH Z AH CH AA R
PALLADION	P AE L EY D IY AH N
SOFTLEAVED	S AO F T L IY V D
BÉ	B IY
HIMTHAT	HH IH M TH AH T
RAINON	R EY N AO N
FIBRES	F AY B AH R Z
FALCONRESS	F AE L K AA N R AH S
HÍS	EY CH S
ULPIAN	AH L P IY AH N
CAROLING	K AE R AH L IH NG
SUPPRES	S AH P AH R Z
